Sep,F8-24AGN1,F8-24AGN2,F2-10AGN1,F2-10AGN2
50,2.5946e-13,1.6449e-13,7.111e-14,4.2551e-14
40,2.7367e-13,1.6209e-13,7.7872e-14,4.2465e-14
30,2.901e-13,1.7294e-13,7.1867e-14,4.9063e-14
20,2.6892e-13,2.0326e-13,8.6204e-14,5.3165e-14
15,2.5459e-13,1.9922e-13,8.043e-14,5.0489e-14
10,4.0118e-13,3.4878e-13,9.5945e-14,7.4895e-14
5,4.5545e-13,4.3827e-13,1.058e-13,1.0778e-13
0,4.2741e-13,4.2741e-13,1.168e-13,1.168e-13
